Name,Phys,Str,Sls,Thr,Mag,Fire,Light,Dark,Poise,Poison,Bleed,Petrify,Curse,Dur,Weight,Scaling,Prerequisite,Reinforcement,Effect,Def/Weight,Poise/Weight,Mag/Weight,Total Defense,Total Def/Weight
Dragon Sage Hood,25,27,25,25,11,11,12,13,0,12,10,0,21,55,2,E,,Titanite,FTH & INT +1,12.5,0,5.88,124,62
Dragon Sage Hood+10,50,53,49,49,21,21,24,25,0,23,19,0,42,55,2,E,,Titanite,FTH & INT +1,25,0,11.38,242,121
Dragonrider Helm,113,106,118,113,13,12,13,13,14,12,16,0,0,95,7.5,C,,Twinkling Titanite,,15.07,1.87,1.7,388,51.73
Dragonrider Helm+5,170,159,177,170,19,18,19,19,14,18,23,0,0,95,7.5,C,,Twinkling Titanite,,22.67,1.87,2.5,581,77.47
Drakekeeper Helm,67,65,71,67,10,11,9,10,12,10,14,0,14,90,6,C,,Titanite,,11.17,2,1.67,243,40.5
Drakekeeper Helm+10,135,130,142,135,21,23,19,21,12,21,29,0,28,90,6,C,,Titanite,,22.5,2,3.5,491,81.83
Drangleic Helm,79,75,86,81,13,13,11,13,10,13,17,0,0,90,5.9,C,,Twinkling Titanite,,13.39,1.69,2.12,292,49.49
Drangleic Helm+5,119,112,129,121,19,19,17,19,10,20,26,0,0,90,5.9,C,,Twinkling Titanite,,20.17,1.69,3.14,436,73.9
Durgo's Hat,22,21,23,21,12,10,9,10,0,9,8,0,0,48,2.6,E,16 DEX,Twinkling Titanite,Bow Range +,8.46,0,3.94,106,40.77
Durgo's Hat+5,33,32,35,31,18,15,13,15,0,14,12,0,0,48,2.6,E,16 DEX,Twinkling Titanite,Bow Range +,12.69,0,5.87,159,61.15
Elite Knight Helm,40,39,44,40,11,12,8,11,8,9,13,0,0,85,4.5,C,,Titanite,,8.89,1.78,2.33,165,36.67
Elite Knight Helm+10,80,78,88,80,23,24,16,23,8,19,27,0,0,85,4.5,C,,Titanite,,17.78,1.78,4.78,332,73.78
Executioner Helm,61,56,65,63,14,15,10,33,5,11,42,0,29,65,4.4,D,,Twinkling Titanite,,13.86,1.14,4.09,256,58.18
Executioner Helm+5,92,84,97,95,21,22,15,49,5,17,63,0,44,65,4.4,D,,Twinkling Titanite,,20.91,1.14,6.08,383,87.05
Falconer Helm,43,38,47,44,13,19,7,13,6,9,17,0,0,75,4.5,D,,Titanite,,9.56,1.33,2.89,181,40.22
Falconer Helm+10,86,76,93,88,26,37,14,26,6,18,33,0,0,75,4.5,D,,Titanite,,19.11,1.33,5.72,360,80
Faraam Helm,47,45,51,48,11,12,7,11,9,9,12,0,0,85,4.8,C,,Titanite,,9.79,1.88,2.14,185,38.54
Faraam Helm+10,95,90,101,96,21,23,14,21,9,18,25,0,0,85,4.8,C,,Titanite,,19.79,1.88,4.11,366,76.25
Grave Warden Mask,7,7,6,6,3,3,4,4,0,4,3,0,0,40,0.5,E,,Titanite,,14,0,7,33,66
Grave Warden Mask+10,13,14,13,13,6,6,7,7,0,7,6,0,0,40,0.5,E,,Titanite,,26,0,13,66,132
Gyrm Helm,86,86,90,82,12,11,10,12,19,24,19,13,13,70,8.2,C,,Titanite,,10.49,2.32,1.37,303,36.95
Gyrm Helm+10,172,172,179,164,25,23,20,25,19,49,37,26,26,70,8.2,C,,Titanite,,20.98,2.32,2.84,608,74.15
Gyrm Warrior Greathelm,99,103,103,90,12,14,14,12,20,9,23,0,0,75,8.9,C,14 STR,Titanite,,11.12,2.25,1.46,348,39.1
Gyrm Warrior Greathelm+10,197,205,205,181,24,28,28,14,20,17,46,0,0,75,8.9,C,14 STR,Titanite,,22.13,2.25,2.64,685,76.97
Gyrm Warrior Helm,99,103,103,90,12,14,14,12,20,9,23,0,0,75,8.9,C,14 STR,Titanite,,11.12,2.25,1.46,348,39.1
Gyrm Warrior Helm+10,197,205,205,181,24,28,28,24,20,17,46,0,0,75,8.9,C,14 STR,Titanite,,22.13,2.25,2.92,695,78.09
Havel's Helm,112,98,126,112,16,17,15,16,17,6,27,13,13,255,7.5,C,20 STR,Twinkling Titanite,,14.93,2.27,2.13,400,53.33
Havel's Helm+5,168,147,189,168,24,26,22,24,17,10,40,19,19,255,7.5,C,20 STR,Twinkling Titanite,,22.4,2.27,3.2,600,80
Heide Knight Greathelm,59,56,63,59,10,13,9,18,11,19,15,0,16,90,6,C,,Titanite,,9.83,1.83,2.08,228,38
Heide Knight Greathelm+10,119,111,127,119,20,26,17,36,11,39,29,0,31,90,6,C,,Titanite,,19.83,1.83,4.13,456,76
Heide Knight Iron Mask,59,56,63,59,10,13,9,18,11,19,15,0,16,90,6,C,,Titanite,,9.83,1.83,2.08,228,38
Heide Knight Iron Mask+10,119,111,127,119,29,26,17,36,11,39,29,0,31,90,6,C,,Titanite,,19.83,1.83,4.5,465,77.5
Helm of Aurous,46,44,48,46,16,16,11,17,6,13,16,0,0,80,3.8,C,,Twinkling Titanite,,12.11,1.58,3.95,198,52.11
Helm of Aurous (Transparent),29,31,27,28,11,9,12,10,0,8,9,0,0,40,1.2,E,,Twinkling Titanite,,24.17,0,8.75,128,106.67
Helm of Aurous+5,69,67,72,69,24,24,17,26,6,19,25,0,0,80,3.8,C,,Twinkling Titanite,,18.16,1.58,5.99,299,78.68
Helm of Aurous+5 (Transparent),43,46,41,42,17,14,18,15,0,12,13,0,0,40,1.2,E,,Twinkling Titanite,,35.83,0,13.33,193,160.83
Hexer's Hood,23,25,22,22,17,25,17,24,0,10,9,13,12,55,0.9,E,"16 INT, 16 FTH",Twinkling Titanite,Spell Increase + 1int/1 faith,25.56,0,23.06,152,168.89
Hexer's Hood+5,35,37,33,33,25,38,25,37,0,16,14,20,18,55,0.9,E,"16 INT, 16 FTH",Twinkling Titanite,Spell Increase + 1int/1 faith,38.89,0,34.72,228,253.33
Hollow Infantry Helm,31,32,30,30,7,6,8,7,0,7,7,0,0,40,4,D,,Titanite,,7.75,0,1.75,120,30
Hollow Infantry Helm+10,62,64,61,61,13,11,17,13,0,13,13,0,0,40,4,D,,Titanite,,15.5,0,3.38,240,60
Hollow Solider Helm,34,33,36,35,11,12,8,11,4,9,11,0,0,35,4.3,C,,Titanite,,7.91,0.93,2.44,146,33.95
Hollow Solider Helm+10,69,66,73,70,22,23,15,22,4,18,21,0,0,35,4.3,C,,Titanite,,16.05,0.93,4.77,291,67.67
Hunter's Hat,17,18,16,16,6,4,6,7,0,7,6,0,0,50,1.2,D,,Titanite,,14.17,0,4.79,73,60.83
Hunter's Hat+10,33,35,32,32,12,8,16,13,0,13,11,0,0,50,1.2,D,,Titanite,,27.5,0,10.21,148,123.33
Imperious Helm,63,61,67,63,13,11,9,13,10,11,13,10,10,85,5.8,C,,Titanite,,10.86,1.72,1.98,237,40.86
Imperious Helm+10,127,121,133,127,26,22,18,26,10,21,27,21,21,85,5.8,C,,Titanite,,21.9,1.72,3.97,473,81.55
Imported Hood,16,18,15,15,5,4,6,5,0,6,6,0,0,35,2.2,D,,Titanite,,7.27,0,2.27,68,30.91
Imported Hood+10,32,36,31,31,9,8,11,9,0,12,13,0,0,35,2.2,D,,Titanite,,14.55,0,4.2,135,61.36
Infantry Helm,38,40,38,38,10,9,12,10,0,10,10,0,0,55,4,D,,Titanite,,9.5,0,2.56,157,39.25
Infantry Helm+10,77,80,75,75,19,18,25,19,0,20,20,0,0,55,4,D,,Titanite,,19.25,0,5.06,311,77.75
Insolent Helm,42,40,45,42,11,11,13,10,6,10,13,10,10,75,4.8,C,,Titanite,FTH +2,8.75,1.25,2.34,172,35.83
Insolent Helm+10,84,80,90,84,21,21,27,20,6,19,25,21,21,75,4.8,C,,Titanite,FTH +2,17.5,1.25,4.64,343,71.46
Ironclad Helm,64,59,68,64,10,11,7,10,13,6,17,0,0,90,6.3,C,14 STR,Titanite,Helm & Armor Nulify Crit,10.16,2.06,1.51,229,36.35
Ironclad Helm+10,129,119,137,129,20,22,14,20,13,11,35,0,0,90,6.3,C,14 STR,Titanite,Helm & Armor Nulify Crit,20.48,2.06,3.02,461,73.17
Jester's Cap,34,37,33,33,19,19,19,19,0,21,16,20,14,45,3,D,14 DEX,Titanite,Item Discovery,11.33,0,6.33,179,59.67
Jester's Cap+10,69,73,67,67,39,39,39,39,0,42,32,41,27,45,3,D,14 DEX,Titanite,Item Discovery,23,0,13,363,121
King's Crown,45,43,48,45,15,15,12,11,2.5,17,16,17,0,230,3.8,C,"14 STR, 12 DEX",Twinkling Titanite,INT & FTH +3,11.84,0.66,3.49,189,49.74
King's Crown+5,68,65,72,68,23,23,18,16,2.5,26,23,25,0,230,3.8,C,"14 STR, 12 DEX",Twinkling Titanite,INT & FTH +3,17.89,0.66,5.26,285,75
Knight Helm,35,34,40,35,11,11,8,11,8,9,13,0,0,80,4.2,C,,Titanite,,8.33,1.9,2.44,150,35.71
Knight Helm+10,71,69,80,71,21,23,15,21,8,19,27,0,0,80,4.2,C,,Titanite,,16.9,1.9,4.76,300,71.43
Leydia Black Hood,20,22,19,19,14,9,8,18,0,10,9,8,12,50,1,E,,Twinkling Titanite,FTH & INT +1,20,0,12.25,109,109
Leydia Black Hood+5,30,33,28,28,20,14,12,27,0,15,14,12,18,50,1,E,,Twinkling Titanite,FTH & INT +1,30,0,18.25,162,162
Leydia White Hood,14,15,13,13,9,9,8,12,0,7,6,5,8,50,1,E,,Titanite,,14,0,9.5,79,79
Leydia White Hood+10,28,30,26,26,18,18,18,24,0,13,12,10,16,50,1,E,,Titanite,,28,0,19.5,160,160
Lion Warrior Helm,11,12,11,11,5,5,5,9,0,4,4,8,16,40,0.5,E,,Titanite,Reduces Falling Damage,22,0,12,58,116
Lion Warrior Helm+10,23,24,22,22,11,10,10,18,0,8,8,16,32,40,0.5,E,,Titanite,Reduces Falling Damage,46,0,24.5,117,234
Looking Glass Mask,100,89,113,100,14,15,23,14,16,13,25,0,0,150,7,C,,Twinkling Titanite,,14.29,2.29,2.36,368,52.57
Looking Glass Mask+5,150,133,169,150,21,23,34,21,16,20,37,0,0,150,7,C,,Twinkling Titanite,,21.43,2.29,3.54,551,78.71
Lucatiel's Mask,25,27,25,25,14,12,15,14,0,11,9,5,9,65,2,D,,Titanite,,12.5,0,6.88,132,66
Lucatiel's Mask+10,51,55,49,49,28,25,30,28,0,22,17,9,18,64,2,D,,Titanite,,25.5,0,13.88,264,132
Mad Warrior Mask,69,69,72,65,11,11,8,11,9,14,14,13,13,75,5,C,,Twinkling Titanite,,13.8,1.8,2.05,247,49.4
Mad Warrior Mask+5,103,103,108,98,17,16,12,17,9,21,21,29,29,75,5,C,,Twinkling Titanite,,20.6,1.8,3.1,371,74.2
Manikin Mask,36,38,35,35,18,17,22,22,0,21,29,9,0,65,1.8,E,,Titanite,,20,0,10.97,187,103.89
Manikin Mask+10,72,76,69,69,37,34,43,45,0,43,59,19,0,65,1.8,E,,Titanite,,40,0,22.08,373,207.22
Mask of Judgment,49,53,47,47,25,20,17,22,0,13,14,0,27,50,2.5,E,,Twinkling Titanite,,19.6,0,8.4,231,92.4
Mask of Judgment+5,74,79,71,71,38,30,26,33,0,20,21,0,41,50,2.5,E,,Twinkling Titanite,,29.6,0,12.7,348,139.2
Mastodon Helm,74,69,79,74,10,10,6,10,12,12,14,0,0,90,6.6,C,16 STR,Titanite,,11.21,1.82,1.36,258,39.09
Mastodon Helm+10,147,138,157,147,19,21,13,19,12,24,28,0,0,90,6.6,C,16 STR,Titanite,,22.27,1.82,2.73,514,77.88
Monastery Headcloth,15,16,14,14,13,10,9,10,0,17,10,9,11,55,0.6,E,,Twinkling Titanite,,25,0,17.5,86,143.33
Monastery Headcloth+5,22,24,21,21,20,15,13,14,0,25,16,14,17,55,0.6,E,,Twinkling Titanite,,36.67,0,25.83,128,213.33
Moon Butterfly Hat,27,20,26,26,14,9,14,12,0,26,11,15,16,35,0.8,E,,Twinkling Titanite,"INT+1, Posion Dmg",33.75,0,15.31,121,151.25
Moon Butterfly Hat+5,41,45,39,39,21,14,22,18,0,39,17,22,24,45,0.8,E,,Twinkling Titanite,"INT+1, Posion Dmg",51.25,0,23.44,198,247.5
Moon Hat,26,27,25,25,19,13,13,16,0,8,8,0,0,50,2.2,E,,Titanite,,11.82,0,6.93,138,62.73
Moon Hat+10,52,54,50,50,38,26,26,32,0,16,16,0,0,50,2.2,E,,Titanite,,23.64,0,13.86,276,125.45
Nahr Alma Hood,19,20,19,19,11,9,10,19,0,9,9,12,12,50,1.5,E,,Titanite,Souls Aquired +,12.67,0,8.17,107,71.33
Nahr Alma Hood+10,38,41,37,37,21,18,20,38,0,19,19,25,25,50,1.5,E,,Titanite,Souls Aquired +,25.33,0,16.17,212,141.33
Old Ironclad Helm,56,52,61,56,8,9,6,8,11,5,14,0,0,45,6.3,C,14 STR,Titanite,Helm & Armor Nulify Crit,8.89,1.75,1.23,200,31.75
Old Ironclad Helm+10,113,104,121,113,16,18,13,16,11,9,28,0,0,45,6.3,C,14 STR,Titanite,Helm & Armor Nulify Crit,17.94,1.75,2.5,401,63.65
Old Knight Helm,77,73,80,77,9,9,7,9,14,7,15,0,0,20,7,C,,Titanite,,11,2,1.21,264,37.71
Old Knight Helm+10,155,145,161,155,17,17,13,17,14,17,29,0,0,20,7,C,,Titanite,,22.14,2,2.29,525,75
Pate's Helm,38,27,51,38,8,10,3,8,5,9,17,0,0,80,3.5,D,,Titanite,,10.86,1.43,2.07,145,41.43
Pate's Helm+10,77,53,102,75,15,20,6,16,5,17,34,0,0,80,3.5,D,,Titanite,,22,1.43,4.07,287,82
Peasant Hat,9,9,8,8,4,4,5,4,0,6,5,0,0,45,1.3,E,,Titanite,,6.92,0,3.27,42,32.31
Peasant Hat+10,17,19,16,16,8,9,11,6,0,12,10,0,0,45,1.3,E,,Titanite,,13.08,0,6.54,85,65.38
Penal Mask,65,59,73,60,27,33,17,30,5,10,15,21,41,120,5.1,D,,Twinkling Titanite,Raises Equipment Load,12.75,0.98,5.25,299,58.63
Penal Mask+5,97,89,109,90,40,50,26,45,5,15,22,32,62,120,5.1,D,,Twinkling Titanite,Raises Equipment Load,19.02,0.98,7.89,449,88.04
Priestess Headpiece,23,24,22,22,14,14,20,16,0,9,9,11,11,50,1.2,E,,Titanite,Faith+1,19.17,0,13.33,132,110
Priestess Headpiece+10,46,47,44,44,28,28,39,31,0,19,18,22,22,50,1.2,E,,Titanite,Faith+1,38.33,0,26.25,261,217.5
Prisoner's Hood,4,4,4,4,4,4,6,5,0,5,4,0,0,25,0.8,E,,Titanite,Item Discovery,5,0,5.94,31,38.75
Prisoner's Hood (2),4,5,4,4,4,4,6,5,0,5,3,0,0,25,0.8,E,,Titanite,Item Discovery,5,0,5.94,32,40
Prisoner's Hood (2)+10,8,9,8,8,8,8,12,9,0,9,7,0,0,25,0.8,E,,Titanite,Item Discovery,10,0,11.56,62,77.5
Prisoner's Hood+10,8,9,8,8,8,8,12,9,0,9,7,0,0,25,0.8,E,,Titanite,Item Discovery,10,0,11.56,62,77.5
Rogue Hood,11,11,11,11,4,4,4,5,0,4,4,0,0,40,0.7,E,,Titanite,,15.71,0,6.07,50,71.43
Rogue Hood+10,22,22,23,23,7,8,8,9,0,8,8,0,0,40,0.7,E,,Titanite,,31.43,0,11.43,100,142.86
Royal Solider Helm,41,93,43,42,12,13,9,13,6,11,12,0,0,70,4.8,C,,Titanite,,8.54,1.25,2.45,225,46.88
Royal Solider Helm+10,82,78,85,84,25,26,17,25,6,22,25,0,0,70,4.8,C,,Titanite,,17.08,1.25,4.84,340,70.83
Royal Swordsman Helm,42,37,47,44,10,12,7,10,7,6,12,0,0,75,4.7,C,,Titanite,,8.94,1.49,2.07,167,35.53
Royal Swordsman Helm+10,84,74,94,88,19,25,13,19,7,11,25,0,0,75,4.7,C,,Titanite,,17.87,1.49,4.04,332,70.64
Ruin Helm,53,48,57,54,12,14,8,12,8,7,17,22,0,105,4,C,,Twinkling Titanite,,13.25,2,2.88,205,51.25
Ruin Helm+5,80,72,86,81,19,21,13,19,8,11,25,33,0,105,4,C,,Twinkling Titanite,,20,2,4.5,311,77.75
Rusted Mastodon Helm,59,55,63,59,8,8,5,8,10,10,11,0,0,40,6,C,14 STR,Titanite,,9.83,1.67,1.21,206,34.33
Rusted Mastodon Helm+10,118,110,126,118,15,17,10,15,19,20,22,0,0,40,6,C,14 STR,Titanite,,19.67,3.17,2.38,411,68.5
Saint's Hood,23,25,22,22,17,17,21,17,0,10,9,20,18,55,0.9,E,16 FTH,Twinkling Titanite,Spell Increase +,25.56,0,20,141,156.67
Saint's Hood+5,35,37,33,33,25,25,32,25,0,16,14,30,27,55,0.9,E,16 FTH,Twinkling Titanite,Spell Increase +,38.89,0,29.72,210,233.33
Shadow Mask,34,38,30,30,16,20,19,24,0,27,21,17,0,60,1.8,E,,Titanite,,18.89,0,10.97,177,98.33
Shadow Mask+10,67,76,60,60,36,41,37,48,0,54,41,34,0,60,1.8,E,,Titanite,,37.22,0,22.5,358,198.89
Smelter Demon Helm,129,116,142,129,18,34,17,18,15,12,28,18,18,160,9,C,,Twinkling Titanite,,14.33,1.67,2.42,474,52.67
Smelter Demon Helm+5,194,175,213,194,27,51,26,27,15,18,42,28,28,160,9,C,,Twinkling Titanite,,21.56,1.67,3.64,713,79.22
Spiked Bandit Helm,44,44,45,42,13,14,11,13,3.5,10,14,0,0,60,4.1,D,,Titanite,,10.73,0.85,3.11,182,44.39
Spiked Bandit Helm+10,88,88,91,85,26,27,22,26,3.5,19,28,0,0,60,4.1,D,,Titanite,,21.46,0.85,6.16,365,89.02
Standard Helm+1,40,28,50,39,8,10,3,8,5,10,18,0,0,65,4,D,,Titanite,,10,1.25,1.81,146,36.5
Standard Helm+10,80,56,106,78,15,20,6,15,5,19,36,0,0,65,4,D,,Titanite,,20,1.25,3.5,296,74
Steel Helm,62,59,66,62,9,10,7,9,12,8,14,0,0,100,5.4,C,,Titanite,,11.48,2.22,1.62,222,41.11
Steel Helm+10,124,118,132,124,19,20,14,19,12,17,28,0,0,100,5.4,C,,Titanite,,22.96,2.22,3.33,446,82.59
Syan's Helm,61,55,65,63,12,16,7,12,10,7,20,0,0,85,6.2,C,,Titanite,,9.84,1.61,1.9,230,37.1
Syan's Helm+10,123,110,131,125,24,32,14,24,10,14,41,0,0,85,6.2,C,,Titanite,,19.84,1.61,3.79,460,74.19
Targray's Helm,36,34,39,36,9,9,7,10,5.5,11,12,0,0,75,4,C,,Titanite,,9,1.38,2.19,144,36
Targray's Helm+10,73,68,79,73,18,18,15,20,5.5,22,24,0,0,75,4,C,,Titanite,,18.25,1.38,4.44,291,72.75
Tattered Cloth Hood,20,21,20,20,11,15,10,11,0,18,6,0,4,55,1.1,E,,Titanite,,18.18,0,10.68,108,98.18
Tattered Cloth Hood+10,41,43,39,39,22,29,19,23,0,35,12,0,8,55,1.1,E,,Titanite,,37.27,0,21.14,214,194.55
Thief Mask,20,21,20,20,10,7,7,8,0,12,8,0,0,55,1.2,E,,Titanite,,16.67,0,6.67,93,77.5
Thief Mask+10,40,42,39,39,19,15,14,16,0,23,16,0,0,55,1.2,E,,Titanite,,33.33,0,13.33,184,153.33
Throne Defender Helm,87,84,90,88,18,20,10,18,8,12,20,0,0,100,6.4,C,,Twinkling Titanite,,13.59,1.25,2.58,328,51.25
Throne Defender Helm+5,131,126,136,132,26,29,16,26,8,18,31,0,0,100,6.4,C,,Twinkling Titanite,,20.47,1.25,3.79,491,76.72
Throne Watcher Helm,70,66,75,70,30,20,16,20,4,16,28,0,0,95,5.6,C,,Twinkling Titanite,,12.5,0.71,3.84,297,53.04
Throne Watcher Helm+5,104,99,112,104,46,30,24,30,4,23,28,0,0,95,5.6,C,,Twinkling Titanite,,18.57,0.71,5.8,445,79.46
Traveling Merchant Hat,25,27,24,24,7,8,8,7,0,9,10,0,0,60,2.6,D,,Titanite,Item Discovery,9.62,0,2.88,105,40.38
Traveling Merchant Hat+10,50,53,49,48,14,15,17,14,0,18,20,0,0,60,2.6,D,,Titanite,Item Discovery,19.23,0,5.77,210,80.77
Tseldora Cap,10,11,10,10,5,5,6,4,0,5,5,0,0,40,1.4,E,,Titanite,Souls Aquired +,7.14,0,3.57,51,36.43
Tseldora Cap+10,20,23,20,20,9,10,12,9,0,10,10,0,0,40,1.4,E,,Titanite,Souls Aquired +,14.29,0,7.14,103,73.57
Varangian Helm,53,46,60,65,17,19,10,17,5,17,23,0,0,55,4.6,D,,Titanite,,11.52,1.09,3.42,234,50.87
Varangian Helm+10,106,92,119,109,34,38,20,34,5,33,45,0,0,55,4.6,D,,Titanite,,23.04,1.09,6.85,446,96.96
Velstadt's Helm,113,103,119,117,17,18,10,36,11,13,31,18,23,140,7.5,C,,Twinkling Titanite,END & VIT +1,15.07,1.47,2.7,420,56
Velstadt's Helm+5,169,155,179,176,26,27,15,54,11,19,46,27,35,140,7.5,C,,Twinkling Titanite,END & VIT +1,22.53,1.47,4.07,632,84.27
Vengarl's Helm,99,93,105,99,15,19,14,15,12,14,18,0,0,85,6.8,C,,Twinkling Titanite,,14.56,1.76,2.32,360,52.94
Vengarl's Helm+5,148,140,158,148,23,29,20,23,12,21,27,0,0,85,6.8,C,,Twinkling Titanite,,21.76,1.76,3.49,541,79.56
